Stage name,Timestamp,CPU percentage,Memory Usage bytes,Memory limit bytes,Disk read bytes,Disk write bytes,Network received bytes,Network sent bytes
user generation,1763834292760,110.54,2924872728,16578573762,0,0,152,693
user generation,1763834299344,124.45,2936683888,16578573762,0,0,1845493,917
user generation,1763834306832,94.5,2939905114,16578573762,0,0,4687134,1352663
user generation,1763834313406,54.49,2956011241,16578573762,0,0,8084520,1835008
user generation,1763834319982,53.99,2938831372,16578573762,0,0,11953766,2369781
user generation,1763834326840,49.24,2933462663,16578573762,0,0,15938355,2915041
user generation,1763834333426,47.11,2933462663,16578573762,0,0,19713228,3449815
user generation,1763834340009,46.59,2934536404,16578573762,0,0,23592960,3984588
user generation,1763834346841,49.65,2933462663,16578573762,0,0,27367833,4508876
user generation,1763834353418,46.42,2933462663,16578573762,0,0,31037849,5033164
update 1 random,1763834360024,110.84,2995739688,16578573762,0,0,33554432,55050240
update 10 percent,1763834366865,116.15,2992518463,16578573762,0,0,35966156,86822092
update 50 percent,1763834373441,80.07,2988223496,16578573762,0,0,42467328,126877696
update 50 percent,1763834380019,43.18,2989297238,16578573762,0,0,47081062,126877696
update 50 percent,1763834386873,43.36,2969969885,16578573762,0,0,52009369,127926272
update 50 percent,1763834393451,42.24,2971043627,16578573762,0,0,56832819,128974848
delete 15 percent with friends,1763834400031,41.37,2969969885,16578573762,0,0,59663974,155189248
delete 15 percent with friends,1763834406871,40.42,2969969885,16578573762,0,0,61131980,156237824
