Timestamp,CPU percentage,Memory Usage bytes,Memory limit bytes,Disk read bytes,Disk write bytes,Network received bytes,Network sent bytes
1763827805141,111.21,3056942972,16578573762,0,0,143,692
1763827808162,90.62,3059090456,16578573762,0,0,776,780
1763827810263,109.28,3059090456,16578573762,0,0,1331691,850
1763827812350,110.68,3060164198,16578573762,0,0,1866465,920
1763827814457,67.51,3063385423,16578573762,0,0,2474639,1048576
1763827816543,91.24,3068754132,16578573762,0,0,3061841,1132462
1763827819569,318.9,3095597678,16578573762,0,0,3449815,9290383
1763827821693,362.41,3119219998,16578573762,0,0,3837788,11953766
1763827823796,98.07,3136399867,16578573762,0,0,4435476,13316915
1763827825885,105.42,3133178642,16578573762,0,0,5158993,13421772
