Stage name,Timestamp,CPU percentage,Memory Usage bytes,Memory limit bytes,Disk read bytes,Disk write bytes,Network received bytes,Network sent bytes
user generation,1763903453342,21.45,651899699,16578573762,0,0,118,112
user generation,1763903480093,24.37,654311424,16578573762,0,0,2579496,1646264
user generation,1763903506657,23.63,660812595,16578573762,0,0,5158993,3261071
user generation,1763903533220,24.58,665740902,16578573762,0,0,7780433,4886364
user generation,1763903560167,25.42,666160332,16578573762,0,0,10485760,6585057
user generation,1763903586742,24.5,668257484,16578573762,0,0,13107200,8199864
user generation,1763903613321,24.71,670669209,16578573762,0,0,15728640,9835642
user generation,1763903640243,25.79,670878924,16578573762,0,0,18350080,11429478
user generation,1763903666819,24.43,673290649,16578573762,0,0,20866662,13002342
user generation,1763903693425,24.45,675702374,16578573762,0,0,23173529,14470348
user generation,1763903720296,15.7,684195840,16578573762,0,0,25480396,15938355
user generation,1763903746878,14.15,684195840,16578573762,0,0,26948403,16882073
user generation,1763903773476,13.59,684300697,16578573762,0,0,28416409,17720934
user generation,1763903800345,15.36,684720128,16578573762,0,0,29779558,18664652
user generation,1763903826935,13.14,687026995,16578573762,0,0,30828134,19293798
user generation,1763903853514,13.64,687026995,16578573762,0,0,32191283,20132659
user generation,1763903880412,15.81,687131852,16578573762,0,0,33554432,20971520
user generation,1763903906989,14.85,689229004,16578573762,0,0,35127296,21915238
user generation,1763903933598,24.31,690487296,16578573762,0,0,37434163,23383244
user generation,1763903960491,15.71,693737881,16578573762,0,0,39321600,24641536
user generation,1763903987065,15.53,693633024,16578573762,0,0,40894464,25480396
user generation,1763904013659,15.27,693947596,16578573762,0,0,42362470,26424115
user generation,1763904040541,14.66,702231347,16578573762,0,0,43830476,27367833
user generation,1763904067128,15.27,702650777,16578573762,0,0,45403340,28311552
user generation,1763904093712,15.22,704747929,16578573762,0,0,46871347,29255270
user generation,1763904120614,15.18,704747929,16578573762,0,0,48444211,30303846
user generation,1763904147212,16.15,707579084,16578573762,0,0,49912217,31247564
user generation,1763904173801,14.63,707579084,16578573762,0,0,51485081,32191283
user generation,1763904200708,15.84,707998515,16578573762,0,0,52953088,33135001
user generation,1763904227297,14.6,711773388,16578573762,0,0,54525952,34078720
user generation,1763904253870,14.5,711668531,16578573762,0,0,55993958,35022438
user generation,1763904280782,15.41,718274560,16578573762,0,0,57566822,35966156
user generation,1763904307372,15.4,721000857,16578573762,0,0,59034828,36805017
user generation,1763904333952,14.24,720896000,16578573762,0,0,60502835,37748736
user generation,1763904360858,15.14,721000857,16578573762,0,0,61970841,38692454
user generation,1763904387437,15.72,722364006,16578573762,0,0,63438848,39636172
user generation,1763904414042,24.62,724566016,16578573762,0,0,65116569,40684748
user generation,1763904440942,14.65,727082598,16578573762,0,0,66899148,41733324
user generation,1763904467534,16.12,727292313,16578573762,0,0,68052582,42467328
user generation,1763904494107,14.59,729704038,16578573762,0,0,69625446,43515904
user generation,1763904521013,15.59,729494323,16578573762,0,0,71198310,44459622
user generation,1763904547601,15.75,730752614,16578573762,0,0,72771174,45403340
user generation,1763904574175,7.52,730647756,16578573762,0,0,73924608,46137344
user generation,1763904601076,16.15,733059481,16578573762,0,0,75497472,47081062
user generation,1763904627703,18.8,735156633,16578573762,0,0,76965478,48024780
user generation,1763904654297,14.29,735471206,16578573762,0,0,78433484,48968499
