Timestamp,CPU percentage,Memory Usage bytes,Memory limit bytes,Disk read bytes,Disk write bytes,Network received bytes,Network sent bytes
1763827128646,21.84,616562688,16578573762,0,0,228,179
1763827130721,25.41,616457830,16578573762,0,0,501,350
1763827132796,25.3,616772403,16578573762,0,0,789,529
1763827134870,25.43,616667545,16578573762,0,0,1142947,718
1763827137883,25.89,616982118,16578573762,0,0,1604321,989
1763827139953,26.04,617086976,16578573762,0,0,1939865,1247805
1763827142026,26.38,616982118,16578573762,0,0,2275409,1457520
1763827144098,25.61,617296691,16578573762,0,0,2621440,1667235
1763827147109,27.32,619603558,16578573762,0,0,3114270,1981808
1763827149184,26.22,619393843,16578573762,0,0,3439329,2191523
1763827151257,26.54,619603558,16578573762,0,0,3795845,2411724
1763827153378,26.6,619288985,16578573762,0,0,4110417,2600468
1763827155465,22.61,619603558,16578573762,0,0,4372561,3491758
1763827158473,32.44,619393843,16578573762,0,0,5096079,4508876
1763827160548,31.23,619708416,16578573762,0,0,5588910,5295308
1763827162621,32.88,624007577,16578573762,0,0,5913968,5505024
1763827164695,34.33,623902720,16578573762,0,0,6280970,5756682
1763827165935,0.0,0,0,0,0,0,0
