Stage name,Timestamp,CPU percentage,Memory Usage bytes,Memory limit bytes,Disk read bytes,Disk write bytes,Network received bytes,Network sent bytes
user generation,1763901772559,10.14,109471334,16578573762,0,0,137,101
user generation,1763901799149,12.61,117335654,16578573762,0,0,4424990,3145728
user generation,1763901825718,13.57,124570828,16578573762,0,0,9112125,6459228
user generation,1763901852281,12.96,131806003,16578573762,0,0,13736345,9762242
user generation,1763901879228,13.62,138726604,16578573762,0,0,18559795,13107200
user generation,1763901905791,11.31,148792934,16578573762,0,0,23173529,16357785
user generation,1763901932362,12.81,155294105,16578573762,0,0,27682406,19608371
user generation,1763901959314,13.21,162004992,16578573762,0,0,32191283,22754099
user generation,1763901985882,13.06,167981875,16578573762,0,0,36700160,25899827
user generation,1763902012463,13.43,174587904,16578573762,0,0,41104179,28940697
user generation,1763902039382,13.6,181823078,16578573762,0,0,45717913,32086425
user generation,1763902065971,12.97,188324249,16578573762,0,0,50017075,35127296
user generation,1763902092561,13.14,196817715,16578573762,0,0,54421094,38063308
user generation,1763902119459,14.05,202689740,16578573762,0,0,58720256,41104179
user generation,1763902146058,12.95,208876339,16578573762,0,0,63019417,44040192
user generation,1763902172638,13.31,214643507,16578573762,0,0,67318579,46871347
user generation,1763902199522,13.15,220934963,16578573762,0,0,71512883,49807360
user generation,1763902226123,13.04,227540992,16578573762,0,0,75812044,52743372
user generation,1763902252701,13.44,233308160,16578573762,0,0,80111206,55679385
user generation,1763902279578,13.51,239914188,16578573762,0,0,84515225,58615398
user generation,1763902306160,13.14,246415360,16578573762,0,0,88709529,61551411
user generation,1763902332742,13.87,253440819,16578573762,0,0,93008691,64487424
user generation,1763902359667,12.69,259103129,16578573762,0,0,97202995,67423436
user generation,1763902386264,13.57,264765440,16578573762,0,0,101292441,70149734
user generation,1763902412853,13.35,270637465,16578573762,0,0,105906176,73085747
user generation,1763902439680,13.29,276194918,16578573762,0,0,110100480,76021760
user generation,1763902466265,13.25,282591232,16578573762,0,0,114294784,78957772
user generation,1763902492857,13.17,289092403,16578573762,0,0,118489088,81893785
user generation,1763902519756,13.49,294964428,16578573762,0,0,122683392,84829798
user generation,1763902546364,13.03,301151027,16578573762,0,0,126877696,87660953
user generation,1763902572930,9.78,306393907,16578573762,0,0,131072000,90282393
user generation,1763902599815,9.44,311217356,16578573762,0,0,134217728,92379545
user generation,1763902626402,9.86,314992230,16578573762,0,0,136314880,94476697
user generation,1763902652994,9.33,319291392,16578573762,0,0,139460608,96573849
user generation,1763902679829,9.61,323066265,16578573762,0,0,142606336,98671001
find 1 by id,1763902706430,0.11,327889715,16578573762,0,0,145752064,113246208
update 10 percent,1763902733007,12.76,339633766,16578573762,0,0,152043520,158334976
update 50 percent,1763902759850,12.6,342779494,16578573762,0,0,163577856,185597952
update 50 percent,1763902786434,12.54,342779494,16578573762,0,0,169869312,193986560
update 50 percent,1763902813025,12.42,342779494,16578573762,0,0,175112192,202375168
update 50 percent,1763902839939,12.36,342779494,16578573762,0,0,181403648,210763776
update 50 percent,1763902866521,12.52,343303782,16578573762,0,0,187695104,220200960
delete 15 percent with friends,1763902893103,12.68,343303782,16578573762,0,0,192937984,238026752
delete 15 percent with friends,1763902919992,12.89,343303782,16578573762,0,0,197132288,241172480
delete 15 percent with friends,1763902946561,12.19,343408640,16578573762,0,0,203423744,245366784
delete 15 percent with friends,1763902973150,12.17,343513497,16578573762,0,0,208666624,249561088
delete 15 percent with friends,1763903000065,12.05,343408640,16578573762,0,0,213909504,252706816
delete 15 percent with friends,1763903026643,12.47,343408640,16578573762,0,0,219152384,256901120
