Timestamp,CPU percentage,Memory Usage bytes,Memory limit bytes,Disk read bytes,Disk write bytes,Network received bytes,Network sent bytes
1763827059716,10.93,113351065,16578573762,0,0,171,127
1763827061788,12.86,114085068,16578573762,0,0,556,401
1763827063861,13.84,114714214,16578573762,0,0,954,687
1763827066873,14.32,115343360,16578573762,0,0,1593835,1153433
1763827068941,14.42,116496793,16578573762,0,0,2055208,1478492
1763827071014,13.85,117230796,16578573762,0,0,2506096,1793064
1763827073092,12.18,118279372,16578573762,0,0,2936012,2097152
1763827076154,11.55,119013376,16578573762,0,0,3533701,4362076
1763827078229,12.5,119013376,16578573762,0,0,3900702,4634705
1763827079478,0.0,0,0,0,0,0,0
