Stage name,Timestamp,CPU percentage,Memory Usage bytes,Memory limit bytes,Disk read bytes,Disk write bytes,Network received bytes,Network sent bytes
user generation,1763834610473,4.94,9641656,16578573762,0,0,526,44
user generation,1763834622039,8.98,45319454,16578573762,0,0,28206694,1226833
user generation,1763834633607,9.61,92243230,16578573762,0,0,64697139,2495610
user generation,1763834645182,9.42,145856921,16578573762,0,0,105906176,3827302
user generation,1763834656749,9.84,203004313,16578573762,0,0,150994944,5158993
user generation,1763834668951,9.48,264765440,16578573762,0,0,199229440,6564085
user generation,1763834680960,9.64,327050854,16578573762,0,0,247463936,7948206
user generation,1763834692541,9.26,387973120,16578573762,0,0,295698432,9248440
user generation,1763834704116,9.63,451411968,16578573762,0,0,344981504,10590617
user generation,1763834715685,9.53,514955673,16578573762,0,0,394264576,11848908
user generation,1763834727257,9.84,579128524,16578573762,0,0,445644800,13212057
user generation,1763834738993,9.71,645608243,16578573762,0,0,497025024,14575206
user generation,1763834751014,9.72,712926822,16578573762,0,0,550502400,15938355
user generation,1763834762582,9.7,778987110,16578573762,0,0,602931200,17196646
user generation,1763834774156,9.45,845886259,16578573762,0,0,655360000,18559795
user generation,1763834785740,9.93,915197132,16578573762,0,0,708837376,19818086
user generation,1763834797310,9.79,983459430,16578573762,0,0,763363328,21181235
user generation,1763834809079,9.92,1045954560,16578573762,0,0,812646400,22334668
user generation,1763834821071,10.14,1115617755,16578573762,0,0,867172352,23697817
user generation,1763834832655,10.07,1186484715,16578573762,0,0,922746880,24956108
user generation,1763834844222,9.71,1255204192,16578573762,0,0,978321408,26319257
user generation,1763834855810,9.43,1321776185,16578573762,0,0,1030750208,27577548
user generation,1763834867413,9.57,1390495662,16578573762,0,0,1105954078,28835840
count all with more than 1 friend,1763834879127,5.52,1407675531,16578573762,0,0,1127428915,102655590
count all with more than 1 friend,1763834891133,5.3,1403380563,16578573762,0,0,1127428915,199229440
count all with more than 1 friend,1763834902713,5.23,1403380563,16578573762,0,0,1127428915,294649856
count all with more than 1 friend,1763834914288,5.39,1403380563,16578573762,0,0,1127428915,392167424
count all with more than 1 friend,1763834925865,5.13,1403380563,16578573762,0,0,1127428915,492830720
count all with more than 1 friend,1763834937443,4.96,1403380563,16578573762,0,0,1127428915,586153984
count all with more than 1 friend,1763834949170,5.22,1403380563,16578573762,0,0,1138166333,684720128
count all with more than 1 friend,1763834961189,6.15,1403380563,16578573762,0,0,1138166333,784334848
count all with more than 1 friend,1763834972758,5.28,1403380563,16578573762,0,0,1138166333,890241024
count all with more than 1 friend,1763834984326,5.75,1403380563,16578573762,0,0,1138166333,999292928
find 1 by id,1763834995900,9.01,1407675531,16578573762,0,0,1138166333,1127428915
find 1 by id,1763835007471,5.76,1407675531,16578573762,0,0,1148903751,1213328261
find 1 by id,1763835019228,5.82,1403380563,16578573762,0,0,1148903751,1320702443
find 1 by id,1763835031262,5.85,1403380563,16578573762,0,0,1148903751,1417339207
find 1 by id,1763835042848,5.79,1403380563,16578573762,0,0,1148903751,1524713390
find 1 by id,1763835054415,5.6,1403380563,16578573762,0,0,1148903751,1632087572
find 1 by id,1763835065988,5.67,1403380563,16578573762,0,0,1159641169,1750199173
find 1 by id,1763835077556,6.25,1403380563,16578573762,0,0,1159641169,1857573355
find 1 by id,1763835089285,5.72,1403380563,16578573762,0,0,1159641169,1964947537
find 1 by id,1763835101287,5.89,1403380563,16578573762,0,0,1159641169,2083059138
find 1 by id,1763835112859,5.43,1403380563,16578573762,0,0,1159641169,2190433320
delete 1 by id with friendships,1763835124428,6.02,1407675531,16578573762,0,0,1170378588,2297807503
delete 1 by id with friendships,1763835136033,6.02,1403380563,16578573762,0,0,1170378588,2405181685
delete 1 by id with friendships,1763835147597,5.78,1403380563,16578573762,0,0,1170378588,2512555868
delete 1 by id with friendships,1763835159346,5.36,1403380563,16578573762,0,0,1170378588,2619930050
delete 1 by id with friendships,1763835171345,5.71,1403380563,16578573762,0,0,1170378588,2727304232
