Timestamp,CPU percentage,Memory Usage bytes,Memory limit bytes,Disk read bytes,Disk write bytes,Network received bytes,Network sent bytes
1763826497044,4.11,12268339,16578573762,0,0,417,39
1763826499132,7.51,15539896,16578573762,0,0,3407872,206
1763826501203,8.19,20656947,16578573762,0,0,7329546,381
1763826503278,8.12,26455572,16578573762,0,0,11953766,566
1763826506291,8.39,34215034,16578573762,0,0,17930649,795
1763826508378,8.5,40894464,16578573762,0,0,23173529,987
1763826510456,8.66,48664412,16578573762,0,0,28940697,1247805
1763826512532,8.21,55993958,16578573762,0,0,34498150,1761607
1763826515548,5.85,56046387,16578573762,0,0,35022438,17511219
1763826517620,5.86,55910072,16578573762,0,0,35441868,30828134
1763826519685,5.96,56004444,16578573762,0,0,35861299,44564480
1763826521761,5.92,56004444,16578573762,0,0,36280729,58720256
1763826523837,6.05,55983472,16578573762,0,0,36805017,72561459
1763826526852,5.93,56119787,16578573762,0,0,37329305,92274688
1763826528926,5.69,55993958,16578573762,0,0,37748736,105906176
1763826530999,5.74,56130273,16578573762,0,0,38273024,119537664
1763826533065,5.81,55993958,16578573762,0,0,38692454,134217728
1763826536073,6.62,55910072,16578573762,0,0,42362470,146800640
1763826538168,6.56,56025415,16578573762,0,0,42677043,157286400
1763826540265,5.32,56025415,16578573762,0,0,43096473,168820736
1763826542365,5.25,56025415,16578573762,0,0,43411046,180355072
1763826545441,7.51,55899586,16578573762,0,0,51065651,186646528
1763826547544,7.35,56025415,16578573762,0,0,58615398,186646528
1763826549650,5.7,56245616,16578573762,0,0,60293120,197132288
1763826551737,5.01,56077844,16578573762,0,0,60712550,208666624
1763826553847,7.07,55815700,16578573762,0,0,60922265,218103808
1763826556854,5.69,56235130,16578573762,0,0,61341696,222298112
